# Level 1

World 1280 720

#     gX, gY, cW, cH, sX, sY,  sM,  g,   bullet 
Player 2   10  80  96   40  40  20   3   axe

# Decoration
Deco	treesResize	0	2
Deco	treesResize	24	2
Deco	treesResize	48	2
Deco	treesResize	72	2
Deco	treesResize	96	2
Deco	leavesEndResize	120 	7
Deco	bushEndResize	120	2
Deco	cloud3		130	8
Deco	cloud2resize	136	9
Deco 	bush3		130	2



# Tile Row 0
Tile	grassbottom2	0	0
Tile	grassbottom2	1	0
Tile	grassbottom2	2	0
Tile	grassbottom2	3	0
Tile	grassbottom2	4	0
Tile	grassbottom2	5	0
Tile	grassbottom2	6	0
Tile	grassbottom2	7	0
Tile	grassbottom2	8	0
Tile	grassbottom2	9	0
Tile	grassbottom2	10	0
Tile	grassbottom2	11	0
Tile	grassbottom2	12	0
Tile	grassbottom2	13	0
Tile	grassbottom2	14	0
Tile	grassbottom2	15	0
Tile	grassbottom2	16	0
Tile	grassbottom2	17	0
Tile	grassbottom2	18	0
Tile	grassbottom2	19	0
Tile	grassbottom2	20	0
Tile	grassbottom2	21	0
Tile	grassbottom2	22	0
Tile	grassbottom2	23	0
Tile	grassbottom2	24	0
Tile	grassbottom2	25	0
Tile	grassbottom2	26	0
Tile	grassbottom2	27	0
Tile	grassbottom2	28	0
Tile	grassbottom2	29	0
Tile	grassbottom2	30	0
Tile    grassbottom2    31      0
Tile    grassbottom2    32      0
Tile    grassbottom2    33      0
Tile    grassbottom2    34      0
Tile    grassbottom2    35      0
Tile    grassbottom2    36      0
Tile    grassbottom2    37      0
Tile    grassbottom2    38      0
Tile    grassbottom2    39      0
Tile    grassbottom2    40      0
Tile    grassbottom2    41      0
Tile    grassbottom2    42      0
Tile    grassbottom2    43      0
Tile    grassbottom2    44      0
Tile    grassbottom2    45      0
Tile    grassbottom2    46      0
Tile    grassbottom2    47      0
Tile    grassbottom2    48      0
Tile    grassbottom2    49      0
Tile    grassbottom2    50      0
Tile    grassbottom2    51      0
Tile    grassbottom2    52      0
Tile    grassbottom2    53      0
Tile    grassbottom2    54      0
Tile    grassbottom2    55      0
Tile    grassbottom2    56      0
Tile    grassbottom2    57      0
Tile    grassbottom2    58      0
